CAG_content	distribution_CAG
102.0	2
104.0	2
11.0	13
113.0	1
12.0	71
124.0	1
13.0	60
14.0	72
141.0	1
146.0	7
147.0	1
148.0	2
149.0	2
15.0	174
158.0	1
16.0	410
161.0	1
166.0	21
167.0	2
169.0	1
17.0	1162
174.0	1
18.0	2802
19.0	58
20.0	23
21.0	10
22.0	11
23.0	11
24.0	8
25.0	8
26.0	9
27.0	6
28.0	9
29.0	7
30.0	6
31.0	4
32.0	4
33.0	5
34.0	5
35.0	2
36.0	7
37.0	3
38.0	2
39.0	2
40.0	1
41.0	1
43.0	2
45.0	2
46.0	1
48.0	1
50.0	1
51.0	2
52.0	3
55.0	2
59.0	1
61.0	1
66.0	1
70.0	1
71.0	1
72.0	1
73.0	2
75.0	6
76.0	2
77.0	2
78.0	1
81.0	1
82.0	2
85.0	2
86.0	2
87.0	1
88.0	2
90.0	19
91.0	3
92.0	4
93.0	2
95.0	4
96.0	3
97.0	1
98.0	1
